Station ID,City,State,Start Date,End Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14929,ABERDEEN,SD,1893,2023,-46,-46,-32,-6,13,28,35,30,11,-6,-27,-39,-46
14936,HURON,SD,1881,2023,-43,-41,-25,-2,16,31,37,33,18,-6,-28,-34,-43
24090,RAPID CITY,SD,1948,2023,-27,-31,-21,-1,18,31,39,37,18,-7,-19,-30,-31
14944,SIOUX FALLS,SD,1932,2023,-36,-31,-23,4,17,33,38,34,22,9,-17,-28,-36
13877,BRISTOL-JHNSN CTY-KNGSPRT,TN,1937,2023,-21,-15,-2,21,30,38,45,43,33,20,5,-9,-21
13882,CHATTANOOGA,TN,1938,2023,-13,1,8,25,34,41,51,50,36,22,4,-2,-13
13891,KNOXVILLE,TN,1910,2023,-24,-8,1,22,32,43,49,49,36,24,5,-6,-24
13893,MEMPHIS,TN,1940,2023,-4,-11,12,28,36,48,52,48,36,25,9,-13,-13
13897,NASHVILLE,TN,1948,2023,-17,-13,2,23,34,42,54,49,36,26,-1,-10,-17
3841,OAK RIDGE,TN,1948,2023,-17,-13,1,20,30,39,49,50,33,21,0,-7,-17
13962,ABILENE,TX,1948,2023,-1,-7,9,25,33,47,57,50,38,20,14,-7,-7
23047,AMARILLO,TX,1947,2023,-11,-14,-3,17,27,41,51,48,30,12,0,-8,-14
13958,AUSTIN,TX,1938,2023,-2,7,18,31,43,53,62,60,41,30,20,4,-2
12919,BROWNSVILLE,TX,1898,2023,19,22,28,37,50,56,62,62,51,35,27,15,15
12924,CORPUS CHRISTI,TX,1948,2023,14,17,24,33,47,58,64,64,51,28,27,13,13
13960,DALLAS,TX,1939,2023,0,2,11,31,39,53,60,56,36,27,17,1,0
22010,DEL RIO,TX,1951,2023,15,11,21,33,45,55,64,64,48,28,22,10,10
23044,EL PASO,TX,1938,2023,-8,1,14,21,31,46,57,56,41,25,1,5,-8
